cluster,material_base,state,n_obs,fair_buy_Q1,fair_target,fair_sell_Q3,heterogeneity,n_products,n_months,emitter_sector,receiver_sector,top_products,quality
PP_TIER2,PP,RS,152,0.5,1.325,1.8,0.57,5,33,COLETA_RECICLAGEM,COMERCIO_ATACADO,"PP MINERAL, PP MARGARINA, PP BRANCO",C (razoável)
PP_TIER2,PP,SC,14,2.225,2.3,2.575,0.121,3,8,COMERCIO_ATACADO,COLETA_RECICLAGEM,"PP BRANCO, PP NATURAL, SUCATA DE PP MINERAL",D (insuficiente)
PP_TIER2,PP,SP,244,1.8,2.1,2.5,0.291,1,30,COMERCIO_ATACADO,COMERCIO_ATACADO,PP BRANCO,A (excelente)
PS,PS,MG,7,0.8,1.0,1.0,0.117,2,6,COOPERATIVA,COMERCIO_ATACADO,"PS COPINHO, SUCATA DE PS COPINHO",D (insuficiente)
PS,PS,PR,119,1.0,1.2,1.25,0.125,2,30,COOPERATIVA,COMERCIO_ATACADO,"PS COPINHO, SUCATA DE PS COPINHO",A (excelente)
PS,PS,RS,12,0.45,0.55,0.95,0.44,2,9,COLETA_RECICLAGEM,COLETA_RECICLAGEM,"PS COPINHO, SUCATA DE PS PRETO",D (insuficiente)
PS,PS,SP,66,0.1,0.1,0.1,0.408,3,16,COLETA_RECICLAGEM,COMERCIO_ATACADO,"SUCATA DE PS PRETO, PS COPINHO, SUCATA DE PS COPINHO",B (bom)
PVC,PVC,BA,13,0.2,0.2,0.2,0.0,1,3,COLETA_RECICLAGEM,COLETA_RECICLAGEM,SUCATA DE PVC,D (insuficiente)
PVC,PVC,CE,20,0.3,0.6,1.3,0.646,1,6,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE PVC,C (razoável)
PVC,PVC,GO,7,0.55,0.7,0.8,0.297,1,6,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,D (insuficiente)
PVC,PVC,MA,15,0.5,0.5,0.5,0.0,1,13,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PVC,D (insuficiente)
PVC,PVC,MG,51,0.3,0.5,0.55,0.496,1,24,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE PVC,B (bom)
PVC,PVC,PE,19,0.6,0.6,0.6,0.0,1,12,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,D (insuficiente)
PVC,PVC,PR,190,0.45,0.575,0.9,0.49,1,36,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,B (bom)
PVC,PVC,RJ,7,0.125,0.2,1.1,1.198,1,7,COOPERATIVA,INDUSTRIA,SUCATA DE PVC,D (insuficiente)
PVC,PVC,RS,36,0.3,0.4,0.75,0.532,1,19,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,C (razoável)
PVC,PVC,SC,18,0.425,0.6,1.0,0.563,1,12,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PVC,D (insuficiente)
PVC,PVC,SP,72,0.3,0.325,0.5,0.423,1,28,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,B (bom)
